method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,wrk1,False,vip_http_client_visible_total_down_ms,100,1426.44,1412.0,65.24535201526588,100.0,1311.0,1562.0,1413.6521459891442,1439.227854010856
postcopy,wrk1,False,vip_http_client_visible_down_segments,100,1.1,1.0,0.30151134457776363,0.0,1.0,2.0,1.040904862369734,1.1590951376302663
postcopy,wrk1,False,vip_http_client_visible_outage_span_ms,100,1547.48,1412.0,390.3277949041644,149.0,1311.0,2914.0,1470.97715798229,1623.98284201771
postcopy,wrk1,False,vip_http_cutover_near_downtime_ms,100,1421.83,1411.5,65.94488898950686,100.25,1311.0,1562.0,1408.9050392616075,1434.7549607383924
postcopy,wrk1,False,vip_http_downtime_ms,100,1421.83,1411.5,65.94488898950686,100.25,1311.0,1562.0,1408.9050392616075,1434.7549607383924
postcopy,wrk1,False,vip_l4_downtime_ms,100,3.7,0.0,12.84365975723415,0.0,0.0,60.0,1.1826889446134623,6.2173110553865385
postcopy,wrk1,False,http_downtime_ms,100,2535.07,2549.5,68.22323058840875,144.5,2400.0,2699.0,2521.698492513775,2548.4415074862254
postcopy,wrk1,False,l4_downtime_ms,100,666.15,650.0,23.44836364388265,50.0,650.0,701.0,661.5542051761591,670.7457948238408
postcopy,wrk1,False,vip_http_downphase_ms,100,1410.03,1400.0,66.14973144085296,100.0,1299.0,1550.0,1397.064890878893,1422.995109121107
postcopy,wrk1,False,postcopy_restore_to_readiness_ms,100,1311.86,1311.5,23.415879960903336,26.0,1238.0,1417.0,1307.2705718610316,1316.4494281389682
postcopy,wrk1,False,postcopy_readiness_gate_ms,0,,,,,,,,
postcopy,wrk1,False,postcopy_warmup_duration_ms,0,,,,,,,,
postcopy,wrk1,False,postcopy_cutover_to_health_ok_ms,100,1053.66,1052.0,13.359232422152512,18.0,1026.0,1096.0,1051.0416385591482,1056.278361440852
postcopy,wrk1,False,latency_src_p50_ms,100,5.1035,5.15,0.4096885365368392,0.5800000000000001,3.96,6.015,5.023202522350887,5.183797477649113
postcopy,wrk1,False,latency_dst_p50_ms,100,2.9578999999999995,3.085,0.47903795636292085,0.4049999999999998,1.15,3.67,2.8640102858301,3.051789714169899
postcopy,wrk1,False,latency_vip_p50_ms,100,4.0571,4.075,0.21290105351044789,0.2762500000000001,3.385,4.55,4.015372160284889,4.098827839715112
postcopy,wrk1,False,latency_src_avg_ms,100,5.38024,5.426500000000001,0.31963480171071246,0.39775000000000027,4.314,6.045,5.31759273004414,5.442887269955859
postcopy,wrk1,False,latency_dst_avg_ms,100,3.2333699999999994,3.2935,0.39204150097259916,0.3799999999999999,1.964,3.934,3.1565312777648677,3.310208722235131
postcopy,wrk1,False,latency_vip_avg_ms,100,4.632840000000001,4.6405,0.21172999386726088,0.2764999999999995,4.011,5.197,4.591341683757329,4.674338316242673
postcopy,wrk1,False,latency_delta_dst_src_p50_ms,100,-2.1456000000000004,-2.0725,0.6978184910595638,0.7662500000000003,-4.290000000000001,-0.5699999999999998,-2.2823699110222835,-2.0088300889777173
postcopy,wrk1,False,dl_avg_bps,0,,,,,,,,
postcopy,wrk1,False,stream_disconnects,100,25.56,25.0,0.6714976477316141,1.0,25.0,28.0,25.428388879474266,25.69161112052573
postcopy,wrk1,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,wrk1,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,wrk2,False,vip_http_client_visible_total_down_ms,100,1429.97,1418.5,67.83304742699036,100.25,1311.0,1562.0,1416.6749670081501,1443.26503299185
postcopy,wrk2,False,vip_http_client_visible_down_segments,100,1.12,1.0,0.3265986323710905,0.0,1.0,2.0,1.0559878443152626,1.1840121556847376
postcopy,wrk2,False,vip_http_client_visible_outage_span_ms,100,1592.78,1461.0,459.5463634955892,149.0,1311.0,2967.0,1502.7105678322293,1682.8494321677706
postcopy,wrk2,False,vip_http_cutover_near_downtime_ms,100,1423.6,1411.5,67.93698803622621,101.0,1311.0,1562.0,1410.2845950230867,1436.9154049769131
postcopy,wrk2,False,vip_http_downtime_ms,100,1423.6,1411.5,67.93698803622621,101.0,1311.0,1562.0,1410.2845950230867,1436.9154049769131
postcopy,wrk2,False,vip_l4_downtime_ms,100,3.2,0.0,11.09008110835529,0.0,0.0,60.0,1.0263840441995593,5.373615955800441
postcopy,wrk2,False,http_downtime_ms,100,2545.73,2550.0,75.87960359954604,102.0,2395.0,2699.0,2530.8578709783715,2560.6021290216286
postcopy,wrk2,False,l4_downtime_ms,100,680.23,700.0,24.68748302646137,50.0,650.0,701.0,675.3913422399193,685.0686577600808
postcopy,wrk2,False,vip_http_downphase_ms,100,1412.27,1400.0,67.96758808655072,100.0,1299.0,1552.0,1398.9485975234306,1425.5914024765693
postcopy,wrk2,False,postcopy_restore_to_readiness_ms,100,1320.96,1318.0,24.76838976019901,28.0,1271.0,1422.0,1316.105484811496,1325.8145151885042
postcopy,wrk2,False,postcopy_readiness_gate_ms,0,,,,,,,,
postcopy,wrk2,False,postcopy_warmup_duration_ms,0,,,,,,,,
postcopy,wrk2,False,postcopy_cutover_to_health_ok_ms,100,1054.69,1053.5,14.107591623453715,17.5,1009.0,1091.0,1051.9249628509433,1057.4550371490568
postcopy,wrk2,False,latency_src_p50_ms,100,9.728149999999998,9.697500000000002,0.9777183434358329,1.128750000000002,7.0,12.49,9.536520725984158,9.919779274015838
postcopy,wrk2,False,latency_dst_p50_ms,100,5.4557,5.66,0.9673164012886477,0.8775000000000004,2.23,6.65,5.266109469181936,5.645290530818064
postcopy,wrk2,False,latency_vip_p50_ms,100,7.557249999999999,7.6225000000000005,0.5060404697953584,0.7199999999999998,6.105,8.5,7.4580678904481355,7.656432109551862
postcopy,wrk2,False,latency_src_avg_ms,100,10.09868,10.221,0.8012895399720921,0.9742499999999996,7.55,11.895,9.941630136046603,10.255729863953396
postcopy,wrk2,False,latency_dst_avg_ms,100,5.595650000000001,5.667999999999999,0.7704386573553241,0.7967500000000003,2.959,6.717,5.444646797928618,5.746653202071384
postcopy,wrk2,False,latency_vip_avg_ms,100,8.873370000000001,8.986,0.5868924781500363,0.5662499999999984,6.533,9.919,8.758341188002849,8.988398811997154
postcopy,wrk2,False,latency_delta_dst_src_p50_ms,100,-4.27245,-4.17,1.360798097485888,1.6024999999999991,-8.25,-1.295,-4.539161526130297,-4.0057384738697035
postcopy,wrk2,False,dl_avg_bps,0,,,,,,,,
postcopy,wrk2,False,stream_disconnects,100,25.9,26.0,0.7035264706814484,1.0,25.0,29.0,25.762111345529377,26.03788865447062
postcopy,wrk2,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,wrk2,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,wrk3,False,vip_http_client_visible_total_down_ms,100,1436.25,1412.0,68.44733653538229,119.75,1311.0,1615.0,1422.8345685552958,1449.6654314447042
postcopy,wrk3,False,vip_http_client_visible_down_segments,100,1.18,1.0,0.43531017619043716,0.0,1.0,3.0,1.0946807732562958,1.2653192267437041
postcopy,wrk3,False,vip_http_client_visible_outage_span_ms,100,1647.4,1412.0,531.3926243486272,150.0,1311.0,3079.0,1543.248959462647,1751.5510405373532
postcopy,wrk3,False,vip_http_cutover_near_downtime_ms,100,1427.26,1412.0,61.68355542688027,101.0,1311.0,1562.0,1415.1702452924935,1439.3497547075065
postcopy,wrk3,False,vip_http_downtime_ms,100,1427.26,1412.0,61.68355542688027,101.0,1311.0,1562.0,1415.1702452924935,1439.3497547075065
postcopy,wrk3,False,vip_l4_downtime_ms,100,2.9,0.0,11.036669824185228,0.0,0.0,60.0,0.7368524635336948,5.063147536466305
postcopy,wrk3,False,http_downtime_ms,100,2550.32,2549.0,62.20881745940015,97.5,2446.0,2707.0,2538.127295825875,2562.5127041741252
postcopy,wrk3,False,l4_downtime_ms,100,687.73,700.0,24.009196470342676,49.0,650.0,750.0,683.0242839620382,692.4357160379618
postcopy,wrk3,False,vip_http_downphase_ms,100,1415.93,1400.0,61.63074383664849,100.0,1300.0,1550.0,1403.8505961739756,1428.0094038260245
postcopy,wrk3,False,postcopy_restore_to_readiness_ms,100,1331.91,1329.5,20.435211738268794,23.0,1283.0,1402.0,1327.9047720976544,1335.9152279023458
postcopy,wrk3,False,postcopy_readiness_gate_ms,0,,,,,,,,
postcopy,wrk3,False,postcopy_warmup_duration_ms,0,,,,,,,,
postcopy,wrk3,False,postcopy_cutover_to_health_ok_ms,100,1058.65,1058.5,14.675875208358551,19.5,1018.0,1099.0,1055.7735813150014,1061.5264186849988
postcopy,wrk3,False,latency_src_p50_ms,100,14.2157,14.3025,1.5021170279497418,2.1187499999999986,9.22,17.955,13.921290472465417,14.510109527534583
postcopy,wrk3,False,latency_dst_p50_ms,100,8.71085,8.84,1.3167274736630166,1.0425000000000004,3.645,17.21,8.452776157416608,8.968923842583393
postcopy,wrk3,False,latency_vip_p50_ms,100,11.31855,11.317499999999999,1.037360017330317,0.7924999999999986,8.68,19.125,11.115231172703073,11.521868827296927
postcopy,wrk3,False,latency_src_avg_ms,100,14.99406,15.0975,1.2301579008444814,1.3085000000000022,8.848,17.24,14.752953481904742,15.235166518095257
postcopy,wrk3,False,latency_dst_avg_ms,100,8.55569,8.663499999999999,1.1145615770292365,0.8467500000000001,4.747,16.22,8.337239945047054,8.774140054952946
postcopy,wrk3,False,latency_vip_avg_ms,100,13.51715,13.544,0.9813511750580822,0.8762499999999989,8.908,18.491,13.32480870407001,13.709491295929991
postcopy,wrk3,False,latency_delta_dst_src_p50_ms,100,-5.504849999999999,-5.6425,1.7683130486084153,2.32625,-9.92,-0.7449999999999974,-5.851432988866471,-5.158267011133527
postcopy,wrk3,False,dl_avg_bps,0,,,,,,,,
postcopy,wrk3,False,stream_disconnects,100,26.05,26.0,0.5573204290227127,0.0,25.0,29.0,25.940767203126708,26.159232796873294
postcopy,wrk3,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,wrk3,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
