run_id,run_dir,run_number,run_index,batch_id,batch_dir,analysis_source,method,load,control_run,excluded,breakdown_kind,basis_start_ms,basis_end_ms,basis_total_ms,basis_metric,phase_order,phase_id,phase_label,phase_group,start_ms,end_ms,duration_ms,rel_start_ms,rel_end_ms,status,marker_start,marker_end,quality_flags,coverage_ok
20260720_155856_postcopy_01_87369b,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_155856_postcopy_idle_419ec9\runs\0001,0001,1,20260720_155856_postcopy_idle_419ec9,/mnt/criu/runs/batches/20260720_155856_postcopy_idle_419ec9,20260720_155856_postcopy_idle_419ec9,postcopy,idle,False,False,client_visible_vip_http,1784563149294,1784563150655,1361,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1784563149294,1784563150655,1361,0,1361,observed_down,,,,True
20260720_155856_postcopy_01_87369b,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_155856_postcopy_idle_419ec9\runs\0001,0001,1,20260720_155856_postcopy_idle_419ec9,/mnt/criu/runs/batches/20260720_155856_postcopy_idle_419ec9,20260720_155856_postcopy_idle_419ec9,postcopy,idle,False,False,event_critical_path,1784563149254,1784563152720,3466,,1,transfer,Transfer,transfer,1784563149254,1784563149600,346,0,346,event,transfer_start_ms_event,transfer_done_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260720_155856_postcopy_01_87369b,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_155856_postcopy_idle_419ec9\runs\0001,0001,1,20260720_155856_postcopy_idle_419ec9,/mnt/criu/runs/batches/20260720_155856_postcopy_idle_419ec9,20260720_155856_postcopy_idle_419ec9,postcopy,idle,False,False,event_critical_path,1784563149254,1784563152720,3466,,2,transfer_to_restore,Transfer to restore,handoff,1784563149600,1784563149910,310,346,656,event,transfer_done_ms_event,restore_start_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260720_155856_postcopy_01_87369b,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_155856_postcopy_idle_419ec9\runs\0001,0001,1,20260720_155856_postcopy_idle_419ec9,/mnt/criu/runs/batches/20260720_155856_postcopy_idle_419ec9,20260720_155856_postcopy_idle_419ec9,postcopy,idle,False,False,event_critical_path,1784563149254,1784563152720,3466,,3,restore,Restore,restore,1784563149910,1784563150359,449,656,1105,event,restore_start_ms_event,restore_done_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260720_155856_postcopy_01_87369b,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_155856_postcopy_idle_419ec9\runs\0001,0001,1,20260720_155856_postcopy_idle_419ec9,/mnt/criu/runs/batches/20260720_155856_postcopy_idle_419ec9,20260720_155856_postcopy_idle_419ec9,postcopy,idle,False,False,event_critical_path,1784563149254,1784563152720,3466,,4,unknown_gap,Unknown / not explained by markers,unknown,1784563150359,1784563151633,1274,1105,2379,unknown,,,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260720_155856_postcopy_01_87369b,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_155856_postcopy_idle_419ec9\runs\0001,0001,1,20260720_155856_postcopy_idle_419ec9,/mnt/criu/runs/batches/20260720_155856_postcopy_idle_419ec9,20260720_155856_postcopy_idle_419ec9,postcopy,idle,False,False,event_critical_path,1784563149254,1784563152720,3466,,5,warmup_to_cutover,Warmup to cutover,handoff,1784563151633,1784563151649,16,2379,2395,fallback,dest_readiness_ok_ms_event,vip_cutover_start_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260720_155856_postcopy_01_87369b,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_155856_postcopy_idle_419ec9\runs\0001,0001,1,20260720_155856_postcopy_idle_419ec9,/mnt/criu/runs/batches/20260720_155856_postcopy_idle_419ec9,20260720_155856_postcopy_idle_419ec9,postcopy,idle,False,False,event_critical_path,1784563149254,1784563152720,3466,,6,vip_cutover,VIP cutover,cutover,1784563151649,1784563152451,802,2395,3197,event,vip_cutover_start_ms_event,vip_cutover_done_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260720_155856_postcopy_01_87369b,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_155856_postcopy_idle_419ec9\runs\0001,0001,1,20260720_155856_postcopy_idle_419ec9,/mnt/criu/runs/batches/20260720_155856_postcopy_idle_419ec9,20260720_155856_postcopy_idle_419ec9,postcopy,idle,False,False,event_critical_path,1784563149254,1784563152720,3466,,7,unknown_gap,Unknown / not explained by markers,unknown,1784563152451,1784563152469,18,3197,3215,unknown,,,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260720_155856_postcopy_01_87369b,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_155856_postcopy_idle_419ec9\runs\0001,0001,1,20260720_155856_postcopy_idle_419ec9,/mnt/criu/runs/batches/20260720_155856_postcopy_idle_419ec9,20260720_155856_postcopy_idle_419ec9,postcopy,idle,False,False,event_critical_path,1784563149254,1784563152720,3466,,8,health_wait,Health wait,health,1784563152469,1784563152720,251,3215,3466,event,health_wait_start_ms_event,health_ok_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260720_155921_postcopy_02_9b0314,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_155856_postcopy_idle_419ec9\runs\0002,0002,2,20260720_155856_postcopy_idle_419ec9,/mnt/criu/runs/batches/20260720_155856_postcopy_idle_419ec9,20260720_155856_postcopy_idle_419ec9,postcopy,idle,False,False,client_visible_vip_http,1784563173144,1784563174655,1511,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1784563173144,1784563174655,1511,0,1511,observed_down,,,,True
